treated,age,education,black,hispanic,married,nodegree,re75,re78,group,re74
1,37,11,1,0,1,1,0,9930.0459,Exp treated,
1,22,9,0,1,0,1,0,3595.894,Exp treated,
1,30,12,1,0,0,0,0,24909.449,Exp treated,
1,27,11,1,0,0,1,0,7506.146,Exp treated,
1,33,8,1,0,0,1,0,289.78989,Exp treated,
1,22,9,1,0,0,1,0,4056.4939,Exp treated,
1,23,12,1,0,0,0,0,0,Exp treated,
1,32,11,1,0,0,1,0,8472.1582,Exp treated,
1,22,16,1,0,0,0,0,2164.022,Exp treated,
1,33,12,0,0,1,0,0,12418.07,Exp treated,
1,19,9,1,0,0,1,0,8173.9082,Exp treated,
1,21,13,1,0,0,0,0,17094.641,Exp treated,
1,18,8,1,0,0,1,0,0,Exp treated,
1,27,10,1,0,1,1,0,18739.93,Exp treated,
1,17,7,1,0,0,1,0,3023.8789,Exp treated,
1,19,10,1,0,0,1,0,3228.5029,Exp treated,
1,27,13,1,0,0,0,0,14581.86,Exp treated,
1,23,10,1,0,0,1,0,7693.3999,Exp treated,
1,40,12,1,0,0,0,0,10804.32,Exp treated,
1,26,12,1,0,0,0,0,10747.35,Exp treated,
1,23,11,1,0,0,1,0,0,Exp treated,
1,41,14,0,0,0,0,0,5149.501,Exp treated,
1,38,9,0,0,0,1,0,6408.9502,Exp treated,
1,24,11,1,0,0,1,0,1991.4,Exp treated,
1,33,11,1,0,0,1,7867.916,6281.4331,Exp treated,
1,18,10,1,0,0,1,0,11163.17,Exp treated,
1,29,11,1,0,1,1,0,9642.999,Exp treated,
1,25,11,1,0,0,1,0,9897.0488,Exp treated,
1,27,10,0,1,0,1,0,11142.87,Exp treated,
1,17,10,1,0,0,1,0,16218.04,Exp treated,
1,24,11,1,0,0,1,0,995.7002,Exp treated,
1,17,10,1,0,0,1,0,0,Exp treated,
1,26,11,1,0,1,1,2754.646,26372.279,Exp treated,
1,48,4,1,0,0,1,0,6551.5918,Exp treated,
1,25,11,1,0,1,1,0,1574.424,Exp treated,
1,20,12,1,0,0,0,0,0,Exp treated,
1,25,12,1,0,0,0,0,3191.7529,Exp treated,
1,42,14,1,0,0,0,0,20505.93,Exp treated,
1,25,5,1,0,0,1,0,6181.8799,Exp treated,
1,23,12,1,0,1,0,0,5911.5508,Exp treated,
1,46,8,1,0,1,1,0,3094.156,Exp treated,
1,24,10,1,0,0,1,0,0,Exp treated,
1,21,12,1,0,0,0,0,1254.582,Exp treated,
1,19,9,0,0,0,1,0,13188.83,Exp treated,
1,17,8,1,0,0,1,0,8061.4849,Exp treated,
