"country","milexp","nato"
"AFG",1.012555799,0
"AGO",3.5159385725,0
"ALB",1.1611347848,1
"ARG",0.8629480562,0
"ARM",4.2489510817,0
"AUS",1.9506521538,0
"AUT",0.6729998973,0
"AZE",5.611558707,0
"BDI",2.1361611969,0
"BEL",0.9158017969,1
"BEN",1.0963250199,0
"BGD",0.0013725274,0
"BGR",1.316453182,1
"BHR",4.5927138624,0
"BIH",1.0023504601,0
"BLR",1.3251670084,0
"BLZ",1.1200045849,0
"BOL",1.6221609199,0
"BRA",1.3866682971,0
"BRN",3.2792918214,0
"BWA",2.796562701,0
"CAN",0.9693750983,1
"CHE",0.7110153287,0
"CHL",1.916152744,0
"CHN",1.951019638,0
"CIV",1.465319251,0
"CMR",1.2451298894,0
"COL",3.3771659826,0
"CPV",0.5565120457,0
"CRI",0,0
"CYP",1.8081101309,0
"CZE",0.9603029016,1
"DEU",1.1710882941,1
"DNK",1.1733968923,1
"DOM",0.6507286608,0
"DZA",6.2379466087,0
"ECU",2.6927004917,0
"EGY",1.7334554284,0
"ESP",1.176089309,1
"EST",2.0343991215,1
"ETH",0.7075407182,0
"FIN",1.284251897,0
"FJI",1.1215095872,0
"FRA",2.1024142345,1
"GAB",1.1946028571,0
"GBR",1.9402524893,1
"GEO",2.3413252439,0
"GHA",0.4908028166,0
"GMB",1.4810324067,0
"GNB",1.760433748,0
"GRC",2.6081769566,1
"GTM",0.4300862489,0
"GUY",1.4259140237,0
"HND",1.5492588053,0
"HRV",1.5495841458,1
"HTI",0,0
"HUN",0.8405097183,1
"IDN",0.886273832,0
"IND",2.4214191766,0
"IRL",0.3506046678,0
"IRQ",7.2773549001,0
"ISR",5.3761525073,0
"ITA",1.308669912,1
"JAM",0.8292885257,0
"JOR",4.3074837146,0
"JPN",0.9326585181,0
"KAZ",1.0314514773,0
"KEN",1.5052208505,0
"KGZ",3.5837412115,0
"KOR",2.6437010596,0
"KSV",0.7809186693,0
"LBN",4.7561435963,0
"LBR",0.6585241111,0
"LKA",2.2095603949,0
"LSO",1.8929817588,0
"LTU",1.1448228888,1
"LUX",0.5246279776,1
"LVA",1.058794123,1
"MAR",3.2490890562,0
"MDA",0.355080395,0
"MDG",0.6312845313,0
"MEX",0.6766525007,0
"MKD",1.0650929302,0
"MLI",2.4255000221,0
"MLT",0.5730963543,0
"MMR",3.5023134539,0
"MNE",1.6272736629,0
"MNG",0.8709190296,0
"MOZ",0.9929159866,0
"MWI",0.6577023206,0
"MYS",1.5350858241,0
"NAM",4.8244090657,0
"NGA",0.4176365377,0
"NIC",0.5642807654,0
"NLD",1.182503093,1
"NOR",1.5252934065,1
"NPL",1.5089814082,0
"NZL",1.1861903443,0
"OMN",14.1527001862,0
"PAK",3.5545584975,0
"PAN",0,0
"PER",1.6064840248,0
"PHL",1.3232905451,0
"POL",2.1925114358,1
"PRT",1.852013447,1
"PRY",1.7051370141,0
"ROM",1.3942718364,1
"RUS",5.0088912229,0
"RWA",1.1563731369,0
"SAU",13.4962251915,0
"SEN",1.5784593036,0
"SGP",3.2166089381,0
"SLE",0.820220472,0
"SLV",0.8632351007,0
"SOM",3.53636075522628E-005,0
"SRB",1.9487232716,0
"SSD",10.9285145134,0
"SVK",1.1145621446,1
"SVN",0.9514257345,1
"SWE",1.0848923348,0
"SWZ",1.7853161395,0
"SYC",1.2573038397,0
"TCD",2.0294482096,0
"TGO",1.7118121021,0
"THA",1.4516596328,0
"TMP",2.5635377112,0
"TTO",1.0793714683,0
"TUN",2.2771230552,0
"TUR",2.127696664,1
"TZA",1.1241070016,0
"UGA",1.1992438256,0
"UKR",3.9973063333,0
"URY",1.8007732516,0
"USA",3.304516449,1
"VNM",2.3611556975,0
"ZAF",1.0999822603,0
"ZAR",1.394178017,0
"ZMB",1.7532341119,0
"ZWE",2.6123319486,0
