"Country","Year","debtgdp","dgcat","dRGDP"
"Australia",1946,190.4190800681,"Above 90%",-3.5579514825
"Australia",1947,177.3213713553,"Above 90%",2.4594745668
"Australia",1948,148.9298105151,"Above 90%",6.4375340971
"Australia",1949,125.8286985539,"Above 90%",6.6119938493
"Australia",1950,109.8093979996,"Above 90%",6.9202012418
"Australia",1951,87.094479226,"60-90%",4.2726115481
"Australia",1952,86.0664381756,"60-90%",0.9046515996
"Australia",1953,79.8650221084,"60-90%",3.1192802854
"Australia",1954,76.846702887,"60-90%",6.2168138265
"Australia",1955,74.9805019498,"60-90%",5.4620896706
"Australia",1956,71.8182657678,"60-90%",3.4416081428
"Australia",1957,67.7237634682,"60-90%",2.0030116572
"Australia",1958,66.0497512438,"60-90%",4.8029321557
"Australia",1959,62.3884514436,"60-90%",6.1565736907
"Australia",1960,48.3363802559,"30-60%",4.1912126377
"Australia",1961,49.3781138269,"30-60%",0.6894658835
"Australia",1962,50.3307607497,"30-60%",6.2488414947
"Australia",1963,47.5875309453,"30-60%",6.1255695579
"Australia",1964,45.0115260489,"30-60%",6.841499618
"Australia",1965,43.7390374332,"30-60%",5.1073419738
"Australia",1966,42.4812330299,"30-60%",2.7830639536
"Australia",1967,40.5344808881,"30-60%",6.7516734667
"Australia",1968,39.4942665871,"30-60%",5.8788906154
"Australia",1969,36.8007764249,"30-60%",6.0816970937
"Australia",1970,34.9635906262,"30-60%",6.3597870289
"Australia",1971,32.2898717212,"30-60%",4.4488240704
"Australia",1972,30.72174427,"30-60%",2.8058015498
"Australia",1973,27.3614668003,"0-30%",5.4211302332
"Australia",1974,22.3663943991,"0-30%",2.479194958
"Australia",1975,23.6368473562,"0-30%",2.7074626528
"Australia",1976,22.9823490858,"0-30%",4.0310530582
"Australia",1977,23.6389103163,"0-30%",1.0467569086
"Australia",1978,24.7328917511,"0-30%",2.9010820706
"Australia",1979,20.8721951141,"0-30%",5.2659747992
"Australia",1980,19.1240875912,"0-30%",1.9984020531
"Australia",1981,16.1768449812,"0-30%",4.1557516378
"Australia",1982,15.0436151229,"0-30%",-0.0097400068
"Australia",1983,17.5796955773,"0-30%",-0.5260115982
"Australia",1984,20.0629239638,"0-30%",6.4144998118
"Australia",1985,21.4240170032,"0-30%",5.7161962643
"Australia",1986,21.491707707,"0-30%",2.1105795921
"Australia",1987,19.9939123512,"0-30%",4.3962809589
"Australia",1988,16.2935934114,"0-30%",4.0304127312
"Australia",1989,12.4983297658,"0-30%",4.5749490665
"Australia",1990,10.3312013888,"0-30%",1.604439522
"Australia",1991,9.3083213927,"0-30%",-1.2501169676
"Australia",1992,10.8657169152,"0-30%",2.1122873748
"Australia",1993,13.814962432,"0-30%",3.8972118118
"Australia",1994,15.9184748817,"0-30%",5.0135386698
"Australia",1995,18.3834558684,"0-30%",3.4888318882
"Australia",1996,17.7753233689,"0-30%",4.2816070409
"Australia",1997,17.4123245735,"0-30%",3.99699686
"Australia",1998,14.586137695,"0-30%",5.0513793108
"Australia",1999,13.2160492638,"0-30%",4.4017237343
"Australia",2000,11.1060178708,"0-30%",3.4261296481
"Australia",2001,9.2397825968,"0-30%",2.0893402158
"Australia",2002,8.227777925,"0-30%",4.2473484927
"Australia",2003,7.0313350387,"0-30%",2.9659397649
"Australia",2004,6.2713509514,"0-30%",3.8422786489
"Australia",2005,5.8920133425,"0-30%",2.7591946547
"Australia",2006,5.3925663627,"0-30%",2.8403720339
"Australia",2007,4.9054301034,"0-30%",4.0487802976
"Australia",2008,4.6778870663,"0-30%",2.3542239641
"Australia",2009,8.4182698416,"0-30%",0.7322497392
"Austria",1946,,,16.8
"Austria",1947,,,10.2739726027
"Austria",1948,35.2022832902,"30-60%",27.3291925466
"Austria",1949,26.4481413713,"0-30%",18.9024390244
"Austria",1950,22.1443982124,"0-30%",12.4089618397
"Austria",1951,15.2643312102,"0-30%",6.8399346354
"Austria",1952,13.5804012249,"0-30%",0.0873998543
"Austria",1953,16.5658058965,"0-30%",4.3516227623
"Austria",1954,14.2680998376,"0-30%",10.219665272
"Austria",1955,11.8947319304,"0-30%",11.0531144222
"Austria",1956,10.9238191123,"0-30%",6.8793619143
"Austria",1957,8.3042690737,"0-30%",6.1247334755
"Austria",1958,11.5927580737,"0-30%",3.6516148476
"Austria",1959,13.5199043226,"0-30%",2.842120566
"Austria",1960,13.5685102265,"0-30%",8.2318294263
"Austria",1961,12.3920535956,"0-30%",5.309214393
"Austria",1962,11.9662696453,"0-30%",2.42258878
"Austria",1963,12.0886170587,"0-30%",4.0706357215
"Austria",1964,12.043660419,"0-30%",6.0019004402
"Austria",1965,11.4713995943,"0-30%",2.8758552559
"Austria",1966,10.9782892042,"0-30%",5.6282675961
"Austria",1967,12.1070690802,"0-30%",3.0404552265
"Austria",1968,12.9842914874,"0-30%",4.4440813659
"Austria",1969,13.016119403,"0-30%",6.2886194759
"Austria",1970,10.5834380653,"0-30%",7.1234086393
"Austria",1971,9.2769384205,"0-30%",5.1123170983
"Austria",1972,8.9382410593,"0-30%",6.2086633728
"Austria",1973,9.1861933941,"0-30%",4.8870237275
"Austria",1974,8.8758906834,"0-30%",3.9435859528
"Austria",1975,12.799352405,"0-30%",-0.36235156
"Austria",1976,15.1810591415,"0-30%",4.5770219901
"Austria",1977,16.4255142062,"0-30%",4.6767850759
"Austria",1978,18.8560477241,"0-30%",-0.3632637854
"Austria",1979,23.5881780132,"0-30%",5.4553197677
"Austria",1980,25.2011471361,"0-30%",2.314
"Austria",1981,26.7622848591,"0-30%",-0.099
"Austria",1982,28.842310731,"0-30%",1.908
"Austria",1983,32.9775287024,"30-60%",2.804
"Austria",1984,35.458274913,"30-60%",0.332
"Austria",1985,37.6409144659,"30-60%",2.243
"Austria",1986,42.0278441851,"30-60%",2.341
"Austria",1987,45.7718944983,"30-60%",1.681
"Austria",1988,45.7598961056,"30-60%",0.961
"Austria",1989,45.8473934845,"30-60%",3.742
"Austria",1990,45.9691806215,"30-60%",4.171
"Austria",1991,46.6508765565,"30-60%",3.338
"Austria",1992,46.74949905,"30-60%",1.888
"Austria",1993,50.591228952,"30-60%",0.374
"Austria",1994,53.3303395006,"30-60%",2.213
"Austria",1995,55.86983787,"30-60%",2.539
"Austria",1996,56.3491534832,"30-60%",2.23
"Austria",1997,58.4586875954,"30-60%",2.126
"Austria",1998,58.4765078517,"30-60%",3.595
